№ п/п,Наименование параметра,KKS-код параметра,Наименование сигнала,KKS-код сигнала,Тип датчика,Параметры питания датчика,Участие в задачах,Примечание
149,Регулирующая заслонка №1,E1EKD01AA801,Больше,E1EKD01AA801YC01,сухой контакт,=24В,"АР,ДУ",
150,Регулирующая заслонка №1,E1EKD01AA801,Меньше,E1EKD01AA801YC02,сухой контакт,=24В,"АР,ДУ",
151,Регулирующая заслонка №2,E1EKD02AA801,Больше,E1EKD02AA801YC01,сухой контакт,=24В,"АР,ДУ",
152,Регулирующая заслонка №2,E1EKD02AA801,Меньше,E1EKD02AA801YC02,сухой контакт,=24В,"АР,ДУ",
153,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Больше,E2EKD01AA801YC01,сухой контакт,=24В,"АР,ДУ",
154,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Меньше,E2EKD01AA801YC02,сухой контакт,=24В,"АР,ДУ",
155,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Больше,E2EKD02AA801YC01,сухой контакт,=24В,"АР,ДУ",
156,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Меньше,E2EKD02AA801YC02,сухой контакт,=24В,"АР,ДУ",
157,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,Открыть,E2EKD01AA001YB01,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
158,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,Закрыть,E2EKD01AA001YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
159,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,Стоп,E2EKD01AA001YB03,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
160,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,Открыть,E2EKD01AA002YB01,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
161,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,Закрыть,E2EKD01AA002YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
162,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,Стоп,E2EKD01AA002YB03,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
163,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,Открыть,E2EKD02AA001YB01,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
164,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,Закрыть,E2EKD02AA001YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
165,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,Стоп,E2EKD02AA001YB03,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
166,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,Открыть,E2EKD02AA002YB01,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
167,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,Закрыть,E2EKD02AA002YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
168,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,Стоп,E2EKD02AA002YB03,сухой контакт,"220В, 50Гц","ТЗ,ДУ,ФГУ",
169,Задвижка 2-17Г на байпасе,E2EKG02AA001,Открыть,E2EKG02AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
170,Задвижка 2-17Г на байпасе,E2EKG02AA001,Закрыть,E2EKG02AA001YB02,сухой контакт,"220В, 50Гц",ДУ,
171,Задвижка 2-17Г на байпасе,E2EKG02AA001,Стоп,E2EKG02AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
172,,E2EKA01AA001,Открыть,E2EKA01AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
173,,E2EKA01AA001,Закрыть,E2EKA01AA001YB02,сухой контакт,"220В, 50Гц",ДУ,
174,,E2EKA01AA001,Стоп,E2EKA01AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
175,Задвижка 2-19Г на выходе,E2EKG11AA001,Открыть,E2EKG11AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
176,Задвижка 2-19Г на выходе,E2EKG11AA001,Закрыть,E2EKG11AA001YB02,сухой контакт,"220В, 50Гц",ДУ,
177,Задвижка 2-19Г на выходе,E2EKG11AA001,Стоп,E2EKG11AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
178,Задвижка 4-ГД,E2EKG11AA002,Открыть,E2EKG11AA002YB01,сухой контакт,"220В, 50Гц",ДУ,
179,Задвижка 4-ГД,E2EKG11AA002,Закрыть,E2EKG11AA002YB02,сухой контакт,"220В, 50Гц",ДУ,
180,Задвижка 4-ГД,E2EKG11AA002,Стоп,E2EKG11AA002YB03,сухой контакт,"220В, 50Гц",ДУ,
181,Задвижка ГК-2,E2EKG12AA001,Открыть,E2EKG12AA001YB01,сухой контакт,"220В, 50Гц","ТЗ,ДУ",
182,Задвижка ГК-2,E2EKG12AA001,Закрыть,E2EKG12AA001YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ",
183,Задвижка ГК-2,E2EKG12AA001,Стоп,E2EKG12AA001YB03,сухой контакт,"220В, 50Гц","ТЗ,ДУ",
184,Затвор со стороны,E2EKA02AA001,Открыть,E2EKA02AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
185,Затвор со стороны,E2EKA02AA001,Закрыть,E2EKA02AA001YB02,сухой контакт,"220В, 50Гц",ДУ,
186,Затвор со стороны,E2EKA02AA001,Стоп,E2EKA02AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
187,Затвор со стороны,E2EKA02AA002,Открыть,E2EKA02AA002YB01,сухой контакт,"220В, 50Гц",ДУ,
188,Затвор со стороны,E2EKA02AA002,Закрыть,E2EKA02AA002YB02,сухой контакт,"220В, 50Гц",ДУ,
189,Затвор со стороны,E2EKA02AA002,Стоп,E2EKA02AA002YB03,сухой контакт,"220В, 50Гц",ДУ,
190,Регулятор давления газа,E2EKA02AA801,Больше,E2EKA02AA801YC01,сухой контакт,=24В,"АР,ДУ",
