№ п/п,Наименование параметра,KKS-код параметра,Наименование сигнала,KKS-код сигнала,Тип датчика,Параметры питания датчика,Участие в задачах,Примечание
253,Задвижка 4-ГД,E2EKG11AA002,Открыть,E2EKG11AA002YB01,сухой контакт,"220В, 50Гц",ДУ,
254,Задвижка 4-ГД,E2EKG11AA002,Закрыть,E2EKG11AA002YB02,сухой контакт,"220В, 50Гц",ДУ,
255,Задвижка 4-ГД,E2EKG11AA002,Стоп,E2EKG11AA002YB03,сухой контакт,"220В, 50Гц",ДУ,
256,Задвижка ГК-2,E2EKG12AA001,Открыть,E2EKG12AA001YB01,сухой контакт,"220В, 50Гц","ТЗ,ДУ",
257,Задвижка ГК-2,E2EKG12AA001,Закрыть,E2EKG12AA001YB02,сухой контакт,"220В, 50Гц","ТЗ,ДУ",
258,Задвижка ГК-2,E2EKG12AA001,Стоп,E2EKG12AA001YB03,сухой контакт,"220В, 50Гц","ТЗ,ДУ",
259,Затвор со стороны,E2EKA02AA001,Открыть,E2EKA02AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
260,Затвор со стороны,E2EKA02AA001,Закрыть,E2EKA02AA001YB02,сухой контакт,"220В, 50Гц",ДУ,
261,Затвор со стороны,E2EKA02AA001,Стоп,E2EKA02AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
262,Затвор со стороны,E2EKA02AA002,Открыть,E2EKA02AA002YB01,сухой контакт,"220В, 50Гц",ДУ,
263,Затвор со стороны,E2EKA02AA002,Закрыть,E2EKA02AA002YB02,сухой контакт,"220В, 50Гц",ДУ,
264,Затвор со стороны,E2EKA02AA002,Стоп,E2EKA02AA002YB03,сухой контакт,"220В, 50Гц",ДУ,
265,Регулятор давления газа,E2EKA02AA801,Больше,E2EKA02AA801YC01,сухой контакт,=24В,"АР,ДУ",
266,Регулятор давления газа,E2EKA02AA801,Меньше,E2EKA02AA801YC02,сухой контакт,=24В,"АР,ДУ",
267,Задвижка ГК-3,F0EKG10AA001,Открыть,F0EKG10AA001YB01,сухой контакт,"220В, 50Гц",ДУ,
268,Задвижка ГК-3,F0EKG10AA001,Закрыть,F0EKG10AA001YB02,сухой контакт,"220В, 50Гц",ДУ,
269,Задвижка ГК-3,F0EKG10AA001,Стоп,F0EKG10AA001YB03,сухой контакт,"220В, 50Гц",ДУ,
270,Затвор дисковый на котлы №1-5,F0EKG10AA002,Открыть,F0EKG10AA002YB01,сухой контакт,"220В, 50Гц",ДУ,
271,Затвор дисковый на котлы №1-5,F0EKG10AA002,Закрыть,F0EKG10AA002YB02,сухой контакт,"220В, 50Гц",ДУ,
272,Затвор дисковый на котлы №1-5,F0EKG10AA002,Стоп,F0EKG10AA002YB03,сухой контакт,"220В, 50Гц",ДУ,
273,Затвор дисковый на котлы №6-8,F0EKG10AA003,Открыть,F0EKG10AA003YB01,сухой контакт,"220В, 50Гц",ДУ,
274,Затвор дисковый на котлы №6-8,F0EKG10AA003,Закрыть,F0EKG10AA003YB02,сухой контакт,"220В, 50Гц",ДУ,
275,Затвор дисковый на котлы №6-8,F0EKG10AA003,Стоп,F0EKG10AA003YB03,сухой контакт,"220В, 50Гц",ДУ,
276,Заслонка регулирующая котла ст.№1,F1HHG20AA801,Больше,F1HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
277,Заслонка регулирующая котла ст.№1,F1HHG20AA801,Меньше,F1HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
278,Затвор продувной свечи котла ст.№1,F1HHG20AA201,Открыть,F1HHG20AA201YB01,сухой контакт,"220В, 50Гц",ДУ,
279,Затвор продувной свечи котла ст.№1,F1HHG20AA201,Закрыть,F1HHG20AA201YB02,сухой контакт,"220В, 50Гц",ДУ,
280,Затвор продувной свечи котла ст.№1,F1HHG20AA201,Стоп,F1HHG20AA201YB03,сухой контакт,"220В, 50Гц",ДУ,
281,Заслонка регулирующая котла ст.№2,F2HHG20AA801,Больше,F2HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
282,Заслонка регулирующая котла ст.№2,F2HHG20AA801,Меньше,F2HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
283,Затвор продувной свечи котла ст.№2,F2HHG20AA201,Открыть,F2HHG20AA201YB01,сухой контакт,"220В, 50Гц",ДУ,
284,Затвор продувной свечи котла ст.№2,F2HHG20AA201,Закрыть,F2HHG20AA201YB02,сухой контакт,"220В, 50Гц",ДУ,
285,Затвор продувной свечи котла ст.№2,F2HHG20AA201,Стоп,F2HHG20AA201YB03,сухой контакт,"220В, 50Гц",ДУ,
286,Заслонка регулирующая котла ст.№3,F3HHG20AA801,Больше,F3HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
287,Заслонка регулирующая котла ст.№3,F3HHG20AA801,Меньше,F3HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
288,Затвор продувной свечи котла ст.№3,F3HHG20AA201,Открыть,F3HHG20AA201YB01,сухой контакт,"220В, 50Гц",ДУ,
289,Затвор продувной свечи котла ст.№3,F3HHG20AA201,Закрыть,F3HHG20AA201YB02,сухой контакт,"220В, 50Гц",ДУ,
290,Затвор продувной свечи котла ст.№3,F3HHG20AA201,Стоп,F3HHG20AA201YB03,сухой контакт,"220В, 50Гц",ДУ,
291,Заслонка регулирующая котла ст.№4,F4HHG20AA801,Больше,F4HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
292,Заслонка регулирующая котла ст.№4,F4HHG20AA801,Меньше,F4HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
293,Затвор продувной свечи котла ст.№4,F4HHG20AA201,Открыть,F4HHG20AA201YB01,сухой контакт,"220В, 50Гц",ДУ,
294,Затвор продувной свечи котла ст.№4,F4HHG20AA201,Закрыть,F4HHG20AA201YB02,сухой контакт,"220В, 50Гц",ДУ,
295,Затвор продувной свечи котла ст.№4,F4HHG20AA201,Стоп,F4HHG20AA201YB03,сухой контакт,"220В, 50Гц",ДУ,
296,Заслонка регулирующая котла ст.№5,F5HHG20AA801,Больше,F5HHG20AA801YC01,сухой контакт,=24В,"АР,ДУ",
297,Заслонка регулирующая котла ст.№5,F5HHG20AA801,Меньше,F5HHG20AA801YC02,сухой контакт,=24В,"АР,ДУ",
