№ п/п,Наименование параметра,KKS-код параметра,Наименование сигнала,KKS-код сигнала,Тип датчика,Параметры питания датчика,Участие в задачах,Примечание
1,Регулирующая заслонка №1,E1EKD01AA801,Закрыто,E1EKD01AA801XC02,потенциальный контакт,=24В,"АР,ДУ",
2,Регулирующая заслонка №1,E1EKD01AA801,Открыто,E1EKD01AA801XC01,потенциальный контакт,=24В,"АР,ДУ",
3,Регулирующая заслонка №2,E1EKD02AA801,Закрыто,E1EKD02AA801XC02,потенциальный контакт,=24В,"АР,ДУ",
4,Регулирующая заслонка №2,E1EKD02AA801,Открыто,E1EKD02AA801XC01,потенциальный контакт,=24В,"АР,ДУ",
5,Задвижка 2-Г,E1EKA01AA001,Не открыто,E1EKA01AA001XB51,потенциальный контакт,"220В, 50Гц",ДУ,
6,Задвижка 2-Г,E1EKA01AA001,Не закрыто,E1EKA01AA001XB52,потенциальный контакт,"220В, 50Гц",ДУ,
7,Задвижка 2-Г,E1EKA01AA001,Превышение момента,E1EKA01AA001XB04,потенциальный контакт,"220В, 50Гц","ДУ,ПС",
8,Задвижка 2-Г,E1EKA01AA001,"сигнал ""Открыть"" от УКП",E1EKA01AA001XL01,потенциальный контакт,"220В, 50Гц",ДУ,
9,Задвижка 2-Г,E1EKA01AA001,"сигнал ""Закрыть"" от УКП",E1EKA01AA001XL02,потенциальный контакт,"220В, 50Гц",ДУ,
10,Задвижка 2-Г,E1EKA01AA001,"сигнал ""Стоп"" от УКП",E1EKA01AA001XL03,потенциальный контакт,"220В, 50Гц",ДУ,
11,Задвижка 3-Г,E1EKG11AA001,Не открыто,E1EKG11AA001XB51,потенциальный контакт,"220В, 50Гц",ДУ,
12,Задвижка 3-Г,E1EKG11AA001,Не закрыто,E1EKG11AA001XB52,потенциальный контакт,"220В, 50Гц",ДУ,
13,Задвижка 3-Г,E1EKG11AA001,Превышение момента,E1EKG11AA001XB04,потенциальный контакт,"220В, 50Гц","ДУ,ПС",
14,Задвижка 3-Г,E1EKG11AA001,"сигнал ""Открыть"" от УКП",E1EKG11AA001XL01,потенциальный контакт,"220В, 50Гц",ДУ,
15,Задвижка 3-Г,E1EKG11AA001,"сигнал ""Закрыть"" от УКП",E1EKG11AA001XL02,потенциальный контакт,"220В, 50Гц",ДУ,
16,Задвижка 3-Г,E1EKG11AA001,"сигнал ""Стоп"" от УКП",E1EKG11AA001XL03,потенциальный контакт,"220В, 50Гц",ДУ,
17,Дисковый затвор ГК-1,E1EKG12AA001,Открыто,E1EKG12AA001XB01,потенциальный контакт,"220В, 50Гц",ДУ,
18,Дисковый затвор ГК-1,E1EKG12AA001,Закрыто,E1EKG12AA001XB02,потенциальный контакт,"220В, 50Гц",ДУ,
19,Дисковый затвор ГК-1,E1EKG12AA001,Превышение момента,E1EKG12AA001XB04,потенциальный контакт,"220В, 50Гц","ДУ,ПС",
20,Дисковый затвор ГК-1,E1EKG12AA001,Готовность,E1EKG12AA001XB10,потенциальный контакт,"220В, 50Гц",ДУ,
21,Дисковый затвор ГК-1,E1EKG12AA001,"сигнал ""Открыть"" от УКП",E1EKG12AA001XL01,потенциальный контакт,"220В, 50Гц",ДУ,
22,Дисковый затвор ГК-1,E1EKG12AA001,"сигнал ""Закрыть"" от УКП",E1EKG12AA001XL02,потенциальный контакт,"220В, 50Гц",ДУ,
23,Дисковый затвор ГК-1,E1EKG12AA001,"сигнал ""Стоп"" от УКП",E1EKG12AA001XL03,потенциальный контакт,"220В, 50Гц",ДУ,
24,Сигнализатор газов СТМ-10,E1UEN01CQ001,"Загазованность в ГРП, 1 порог",E1UEN01CQ001XG01,сухой контакт,"220В, 50Гц",ПС,
25,Сигнализатор газов СТМ-10,E1UEN01CQ001,"Загазованность в ГРП, 2 порог",E1UEN01CQ001XG03,сухой контакт,"220В, 50Гц",,
26,Дифф. манометр электроконтактный Элемер- АИР-30,E1EKE01CP151,Засорение фильтра №1,E1EKE01CP151XG01,сухой контакт,"220В, 50Гц",ПС,
27,Дифф. манометр электроконтактный Элемер- АИР-30,E1EKE02CP151,Засорение фильтра №2,E1EKE02CP151XG01,сухой контакт,"220В, 50Гц",ПС,
28,Пожарная сигнализация,E1CYE01CH001,Пожар,E1CYE01CH001XM01,сухой контакт,=24В,ПС,
29,Шкаф сборки задвижек,E1CDA01GH002,Неисправность,E1CDA01GH002XM01,сухой контакт,"220В, 50Гц",ПС,
30,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Не открыто,E2EKD01AA801XC51,потенциальный контакт,=24В,"АР,ДУ",
31,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Не закрыто,E2EKD01AA801XC52,потенциальный контакт,=24В,"АР,ДУ",
32,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Неисправность,E2EKD01AA801ХС57,потенциальный контакт,=24В,ПС,
33,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Готовность,E2EKD01AA801ХС10,потенциальный контакт,=24В,"АР,ДУ",
34,Регулирующий клапан ЗР-1 (линия 1),E2EKD01AA801,Автоматический выключатель отключен,E2EKD01AA801ХM01,сухой контакт,=24В,ПС,
35,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Не открыто,E2EKD02AA801XC51,потенциальный контакт,=24В,"АР,ДУ",
36,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Не закрыто,E2EKD02AA801XC52,потенциальный контакт,=24В,"АР,ДУ",
37,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Неисправность,E2EKD02AA801XC57,потенциальный контакт,=24В,ПС,
38,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Готовность,E2EKD02AA801XC10,потенциальный контакт,=24В,"АР,ДУ",
39,Регулирующий клапан ЗР-1 (линия 2),E2EKD02AA801,Автоматический выключатель отключен,E2EKD02AA801XM01,сухой контакт,=24В,ПС,
40,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,Не открыто,E2EKD01AA001XB51,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
41,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,Не закрыто,E2EKD01AA001XB52,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
42,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,Автоматический выключатель отключен,E2EKD01AA001XM01,сухой контакт,"220В, 50Гц",ПС,
43,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,"сигнал ""Открыть"" от УКП",E2EKD01AA001XL01,потенциальный контакт,"220В, 50Гц",ДУ,
44,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,"сигнал ""Закрыть"" от УКП",E2EKD01AA001XL02,потенциальный контакт,"220В, 50Гц",ДУ,
45,Задвижка 2-13Г на входе линии 1,E2EKD01AA001,"сигнал ""Стоп"" от УКП",E2EKD01AA001XL03,потенциальный контакт,"220В, 50Гц",ДУ,
46,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,Не открыто,E2EKD01AA002XB51,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
47,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,Не закрыто,E2EKD01AA002XB52,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
48,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,Автоматический выключатель отключен,E2EKD01AA002XM01,сухой контакт,"220В, 50Гц",ПС,
49,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,"сигнал ""Открыть"" от УКП",E2EKD01AA002XL01,потенциальный контакт,"220В, 50Гц",ДУ,
50,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,"сигнал ""Закрыть"" от УКП",E2EKD01AA002XL02,потенциальный контакт,"220В, 50Гц",ДУ,
51,Задвижка 2-14Г на выходе линии 1,E2EKD01AA002,"сигнал ""Стоп"" от УКП",E2EKD01AA002XL03,потенциальный контакт,"220В, 50Гц",ДУ,
52,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,Не открыто,E2EKD02AA001XB51,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
53,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,Не закрыто,E2EKD02AA001XB52,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
54,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,Автоматический выключатель отключен,E2EKD02AA001XM01,сухой контакт,"220В, 50Гц",ПС,
55,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,"сигнал ""Открыть"" от УКП",E2EKD02AA001XL01,потенциальный контакт,"220В, 50Гц",ДУ,
56,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,"сигнал ""Закрыть"" от УКП",E2EKD02AA001XL02,потенциальный контакт,"220В, 50Гц",ДУ,
57,Задвижка 2-15Г на входе линии 2,E2EKD02AA001,"сигнал ""Стоп"" от УКП",E2EKD02AA001XL03,потенциальный контакт,"220В, 50Гц",ДУ,
58,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,Не открыто,E2EKD02AA002XB51,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
59,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,Не закрыто,E2EKD02AA002XB52,потенциальный контакт,"220В, 50Гц","ДУ,ФГУ",
60,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,Автоматический выключатель отключен,E2EKD02AA002XM01,сухой контакт,"220В, 50Гц",ПС,
61,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,"сигнал ""Открыть"" от УКП",E2EKD02AA002XL01,потенциальный контакт,"220В, 50Гц",ДУ,
62,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,"сигнал ""Закрыть"" от УКП",E2EKD02AA002XL02,потенциальный контакт,"220В, 50Гц",ДУ,
63,Задвижка 2-16Г на выходе линии 2,E2EKD02AA002,"сигнал ""Стоп"" от УКП",E2EKD02AA002XL03,потенциальный контакт,"220В, 50Гц",ДУ,
64,Задвижка 2-17Г на байпасе,E2EKG02AA001,Не открыто,E2EKG02AA001XB51,потенциальный контакт,"220В, 50Гц",ДУ,
65,Задвижка 2-17Г на байпасе,E2EKG02AA001,Не закрыто,E2EKG02AA001XB52,потенциальный контакт,"220В, 50Гц",ДУ,
66,Задвижка 2-17Г на байпасе,E2EKG02AA001,Превышение момента на закрытие,E2EKG02AA001XB06,потенциальный контакт,"220В, 50Гц",ДУ,
67,Задвижка 2-17Г на байпасе,E2EKG02AA001,Автоматический выключатель отключен,E2EKG02AA001XM01,сухой контакт,"220В, 50Гц",ПС,
68,Задвижка 2-17Г на байпасе,E2EKG02AA001,"сигнал ""Открыть"" от УКП",E2EKG02AA001XL01,потенциальный контакт,"220В, 50Гц",ДУ,
69,Задвижка 2-17Г на байпасе,E2EKG02AA001,"сигнал ""Закрыть"" от УКП",E2EKG02AA001XL02,потенциальный контакт,"220В, 50Гц",ДУ,
70,Задвижка 2-17Г на байпасе,E2EKG02AA001,"сигнал ""Стоп"" от УКП",E2EKG02AA001XL03,потенциальный контакт,"220В, 50Гц",ДУ,
71,,E2EKA01AA001,Не открыто,E2EKA01AA001XB51,потенциальный контакт,"220В, 50Гц",ДУ,
72,,E2EKA01AA001,Не закрыто,E2EKA01AA001XB52,потенциальный контакт,"220В, 50Гц",ДУ,
73,,E2EKA01AA001,Превышение момента на закрытие,E2EKA01AA001XB06,потенциальный контакт,"220В, 50Гц",ДУ,
74,,E2EKA01AA001,Автоматический выключатель отключен,E2EKA01AA001XM01,сухой контакт,"220В, 50Гц",ПС,
75,,E2EKA01AA001,"сигнал ""Открыть"" от УКП",E2EKA01AA001XL01,потенциальный контакт,"220В, 50Гц",ДУ,
76,,E2EKA01AA001,"сигнал ""Закрыть"" от УКП",E2EKA01AA001XL02,потенциальный контакт,"220В, 50Гц",ДУ,
77,,E2EKA01AA001,"сигнал ""Стоп"" от УКП",E2EKA01AA001XL013,потенциальный контакт,"220В, 50Гц",ДУ,
78,Задвижка 2-19Г на выходе,E2EKG11AA001,Не открыто,E2EKG11AA001XB51,потенциальный контакт,"220В, 50Гц",ДУ,
79,Задвижка 2-19Г на выходе,E2EKG11AA001,Не закрыто,E2EKG11AA001XB52,потенциальный контакт,"220В, 50Гц",ДУ,
80,Задвижка 2-19Г на выходе,E2EKG11AA001,Превышение момента на закрытие,E2EKG11AA001XB06,потенциальный контакт,"220В, 50Гц",ДУ,
81,Задвижка 2-19Г на выходе,E2EKG11AA001,Автоматический выключатель отключен,E2EKG11AA001XM01,сухой контакт,"220В, 50Гц",ПС,
82,Задвижка 2-19Г на выходе,E2EKG11AA001,"сигнал ""Открыть"" от УКП",E2EKG11AA001XL01,потенциальный контакт,"220В, 50Гц",ДУ,
83,Задвижка 2-19Г на выходе,E2EKG11AA001,"сигнал ""Закрыть"" от УКП",E2EKG11AA001XL02,потенциальный контакт,"220В, 50Гц",ДУ,
84,Задвижка 2-19Г на выходе,E2EKG11AA001,"сигнал ""Стоп"" от УКП",E2EKG11AA001XL03,потенциальный контакт,"220В, 50Гц",ДУ,
85,Задвижка 4-ГД,E2EKG11AA002,Не открыто,E2EKG11AA002XB51,потенциальный контакт,"220В, 50Гц",ДУ,
86,Задвижка 4-ГД,E2EKG11AA002,Не закрыто,E2EKG11AA002XB52,потенциальный контакт,"220В, 50Гц",ДУ,
87,Задвижка 4-ГД,E2EKG11AA002,Превышение момента на закрытие,E2EKG11AA002XB06,потенциальный контакт,"220В, 50Гц",ДУ,
88,Задвижка 4-ГД,E2EKG11AA002,Автоматический выключатель отключен,E2EKG11AA002XM01,сухой контакт,"220В, 50Гц",ПС,
89,Задвижка 4-ГД,E2EKG11AA002,"сигнал ""Открыть"" от УКП",E2EKG11AA002XL01,потенциальный контакт,"220В, 50Гц",ДУ,
90,Задвижка 4-ГД,E2EKG11AA002,"сигнал ""Закрыть"" от УКП",E2EKG11AA002XL02,потенциальный контакт,"220В, 50Гц",ДУ,
91,Задвижка 4-ГД,E2EKG11AA002,"сигнал ""Стоп"" от УКП",E2EKG11AA002XL03,потенциальный контакт,"220В, 50Гц",ДУ,
92,Дисковый затвор ГК-2,E2EKG12AA001,Открыто,E2EKG12AA001XB01,потенциальный контакт,"220В, 50Гц",ДУ,
93,Дисковый затвор ГК-2,E2EKG12AA001,Закрыто,E2EKG12AA001XB02,потенциальный контакт,"220В, 50Гц",ДУ,
94,Дисковый затвор ГК-2,E2EKG12AA001,Превышение момента,E2EKG12AA001XB04,потенциальный контакт,"220В, 50Гц",ДУ,
95,Дисковый затвор ГК-2,E2EKG12AA001,Готовность,E2EKG12AA001XB10,потенциальный контакт,"220В, 50Гц",ДУ,
96,Дисковый затвор ГК-2,E2EKG12AA001,Автоматический выключатель отключен,E2EKG12AA001XM01,сухой контакт,"220В, 50Гц",ПС,
97,Дисковый затвор ГК-2,E2EKG12AA001,"сигнал ""Открыть"" от УКП",E2EKG12AA001XL01,потенциальный контакт,"220В, 50Гц",ДУ,
98,Дисковый затвор ГК-2,E2EKG12AA001,"сигнал ""Закрыть"" от УКП",E2EKG12AA001XL02,потенциальный контакт,"220В, 50Гц",ДУ,
99,Дисковый затвор ГК-2,E2EKG12AA001,"сигнал ""Стоп"" от УКП",E2EKG12AA001XL03,потенциальный контакт,"220В, 50Гц",ДУ,
100,Сигнализатор газов СТМ-10,E2UEN01CQ001,"Загазованность в ГРП, 1 порог",E1UEN01CQ001XG01,сухой контакт,"220В, 50Гц",ПС,
101,Сигнализатор газов СТМ-10,E2UEN01CQ001,"Загазованность в ГРП, 2 порог",E1UEN01CQ001XG03,сухой контакт,"220В, 50Гц",,
102,Пожарная сигнализация,E2CYE01CH001,Пожар,E2CYE01CH001XM01,сухой контакт,=24В,ПС,
103,Шкаф сборки задвижек,E2CDA01GH001,Неисправность,E2CDA01GH001XM01,сухой контакт,"220В, 50Гц",ПС,
104,Затвор со стороны,E2EKA02AA001,Не открыто,E2EKA02AA001XC02,потенциальный контакт,=24В,ДУ,
105,Затвор со стороны,E2EKA02AA001,Не закрыто,E2EKA02AA001XC01,потенциальный контакт,=24В,ДУ,
106,Затвор со стороны,E2EKA02AA001,Автоматический выключатель отключен,E2EKA02AA001XM01,сухой контакт,=24В,ПС,
107,Затвор со стороны,E2EKA02AA001,"сигнал ""Открыть"" от УКП",E2EKA02AA001XL01,потенциальный контакт,"220В, 50Гц",ДУ,
108,Затвор со стороны,E2EKA02AA001,"сигнал ""Закрыть"" от УКП",E2EKA02AA001XL02,потенциальный контакт,"220В, 50Гц",ДУ,
109,Затвор со стороны,E2EKA02AA001,"сигнал ""Стоп"" от УКП",E2EKA02AA001XL03,потенциальный контакт,"220В, 50Гц",ДУ,
110,Затвор со стороны,E2EKA02AA002,Не открыто,E2EKA02AA002XC02,потенциальный контакт,=24В,ДУ,
111,Затвор со стороны,E2EKA02AA002,Не закрыто,E2EKA02AA002XC01,потенциальный контакт,=24В,ДУ,
112,Затвор со стороны,E2EKA02AA002,Автоматический выключатель отключен,E2EKA02AA002XM01,сухой контакт,=24В,ПС,
113,Затвор со стороны,E2EKA02AA002,"сигнал ""Открыть"" от УКП",E2EKA02AA002XL01,потенциальный контакт,"220В, 50Гц",ДУ,
114,Затвор со стороны,E2EKA02AA002,"сигнал ""Закрыть"" от УКП",E2EKA02AA002XL02,потенциальный контакт,"220В, 50Гц",ДУ,
115,Затвор со стороны,E2EKA02AA002,"сигнал ""Стоп"" от УКП",E2EKA02AA002XL03,потенциальный контакт,"220В, 50Гц",ДУ,
116,Регулятор давления газа,E2EKA02AA801,Закрыто,E2EKD01AA801XC02,потенциальный контакт,=24В,"АР,ДУ",
117,Регулятор давления газа,E2EKA02AA801,Открыто,E2EKD01AA801XC01,потенциальный контакт,=24В,"АР,ДУ",
118,Регулятор давления газа,E2EKA02AA801,Автоматический выключатель отключен,E2EKD01AA801XM01,сухой контакт,=24В,ПС,
119,Задвижка ГК-3,F0EKG10AA001,Не открыто,F0EKG10AA001XB51,потенциальный контакт,"220В, 50Гц",ДУ,
120,Задвижка ГК-3,F0EKG10AA001,Не закрыто,F0EKG10AA001XB52,потенциальный контакт,"220В, 50Гц",ДУ,
121,Задвижка ГК-3,F0EKG10AA001,Превышение момента на открытие,F0EKG10AA001XB04,потенциальный контакт,"220В, 50Гц",ДУ,
122,Задвижка ГК-3,F0EKG10AA001,Превышение момента на закрытие,F0EKG10AA001XB05,потенциальный контакт,"220В, 50Гц",ДУ,
123,Задвижка ГК-3,F0EKG10AA001,Автоматический выключатель отключен,F0EKG10AA001XM01,сухой контакт,"220В, 50Гц",ПС,
124,Задвижка ГК-3,F0EKG10AA001,"сигнал ""Открыть"" от УКП",F0EKG10AA001XL01,потенциальный контакт,"220В, 50Гц",ДУ,
125,Задвижка ГК-3,F0EKG10AA001,"сигнал ""Закрыть"" от УКП",F0EKG10AA001XL02,потенциальный контакт,"220В, 50Гц",ДУ,
126,Задвижка ГК-3,F0EKG10AA001,"сигнал ""Стоп"" от УКП",F0EKG10AA001XL03,потенциальный контакт,"220В, 50Гц",ДУ,
127,Затвор дисковый на котлы №1-5,F0EKG10AA002,Не открыто,F0EKG10AA002XB51,потенциальный контакт,"220В, 50Гц",ДУ,
128,Затвор дисковый на котлы №1-5,F0EKG10AA002,Не закрыто,F0EKG10AA002XB52,потенциальный контакт,"220В, 50Гц",ДУ,
129,Затвор дисковый на котлы №1-5,F0EKG10AA002,Превышение момента на открытие,F0EKG10AA002XB04,потенциальный контакт,"220В, 50Гц",ДУ,
130,Затвор дисковый на котлы №1-5,F0EKG10AA002,Превышение момента на закрытие,F0EKG10AA002XB05,потенциальный контакт,"220В, 50Гц",ДУ,
131,Затвор дисковый на котлы №1-5,F0EKG10AA002,Автоматический выключатель отключен,F0EKG10AA002XM01,сухой контакт,"220В, 50Гц",ПС,
132,Затвор дисковый на котлы №1-5,F0EKG10AA002,"сигнал ""Открыть"" от УКП",F0EKG10AA002XL01,потенциальный контакт,"220В, 50Гц",ДУ,
133,Затвор дисковый на котлы №1-5,F0EKG10AA002,"сигнал ""Закрыть"" от УКП",F0EKG10AA002XL02,потенциальный контакт,"220В, 50Гц",ДУ,
134,Затвор дисковый на котлы №1-5,F0EKG10AA002,"сигнал ""Стоп"" от УКП",F0EKG10AA002XL03,потенциальный контакт,"220В, 50Гц",ДУ,
135,Затвор дисковый на котлы №6-8,F0EKG10AA003,Не открыто,F0EKG10AA003XB51,потенциальный контакт,"220В, 50Гц",ДУ,
136,Затвор дисковый на котлы №6-8,F0EKG10AA003,Не закрыто,F0EKG10AA003XB52,потенциальный контакт,"220В, 50Гц",ДУ,
137,Затвор дисковый на котлы №6-8,F0EKG10AA003,Превышение момента на открытие,F0EKG10AA003XB04,потенциальный контакт,"220В, 50Гц",ДУ,
138,Затвор дисковый на котлы №6-8,F0EKG10AA003,Превышение момента на закрытие,F0EKG10AA003XB05,потенциальный контакт,"220В, 50Гц",ДУ,
139,Затвор дисковый на котлы №6-8,F0EKG10AA003,Автоматический выключатель отключен,F0EKG10AA003XM01,сухой контакт,"220В, 50Гц",ПС,
140,Затвор дисковый на котлы №6-8,F0EKG10AA003,"сигнал ""Открыть"" от УКП",F0EKG10AA003XL01,потенциальный контакт,"220В, 50Гц",ДУ,
141,Затвор дисковый на котлы №6-8,F0EKG10AA003,"сигнал ""Закрыть"" от УКП",F0EKG10AA003XL02,потенциальный контакт,"220В, 50Гц",ДУ,
142,Затвор дисковый на котлы №6-8,F0EKG10AA003,"сигнал ""Стоп"" от УКП",F0EKG10AA003XL03,потенциальный контакт,"220В, 50Гц",ДУ,
