,№ п/п,KKS-код сигнала,Наименование параметра (механизма),Наименование сигнала,Участие в задачах,Примечание
278,299,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-22 на выходе,N1NDD03AA002,ДУ,
279,300,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-22 на выходе,N1NDD03AA002,ДУ,
280,301,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-22 на выходе,N1NDD03AA002,ДУ,
281,302,Автоматический выключатель,Затвор дисковый Т-22 на выходе,N1NDD03AA002,ПС,
282,303,Не открыто,Затвор дисковый К-19 на выходе,N1NDD03AA004,ДУ,
283,304,Не закрыто,Затвор дисковый К-19 на выходе,N1NDD03AA004,ДУ,
284,305,превышение момента на открытие,Затвор дисковый К-19 на выходе,N1NDD03AA004,ДУ,
285,306,превышение момента на закрытие,Затвор дисковый К-19 на выходе,N1NDD03AA004,ДУ,
286,307,"сигнал ""Открыть"" от УКП",Затвор дисковый К-19 на выходе,N1NDD03AA004,ДУ,
287,308,"сигнал ""Закрыть"" от УКП",Затвор дисковый К-19 на выходе,N1NDD03AA004,ДУ,
288,309,"сигнал ""Стоп"" от УКП",Затвор дисковый К-19 на выходе,N1NDD03AA004,ДУ,
289,310,Автоматический выключатель,Затвор дисковый К-19 на выходе,N1NDD03AA004,ПС,
290,311,Не открыто,Затвор дисковый Т-23 на выходе,N1NDD04AA002,ДУ,
291,312,Не закрыто,Затвор дисковый Т-23 на выходе,N1NDD04AA002,ДУ,
292,313,превышение момента на открытие,Затвор дисковый Т-23 на выходе,N1NDD04AA002,ДУ,
293,314,превышение момента на закрытие,Затвор дисковый Т-23 на выходе,N1NDD04AA002,ДУ,
294,315,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-23 на выходе,N1NDD04AA002,ДУ,
295,316,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-23 на выходе,N1NDD04AA002,ДУ,
296,317,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-23 на выходе,N1NDD04AA002,ДУ,
297,318,Автоматический выключатель,Затвор дисковый Т-23 на выходе,N1NDD04AA002,ПС,
298,319,Не открыто,Затвор дисковый К-20 на выходе,N1NDD04AA004,ДУ,
299,320,Не закрыто,Затвор дисковый К-20 на выходе,N1NDD04AA004,ДУ,
300,321,превышение момента на открытие,Затвор дисковый К-20 на выходе,N1NDD04AA004,ДУ,
301,322,превышение момента на закрытие,Затвор дисковый К-20 на выходе,N1NDD04AA004,ДУ,
302,323,"сигнал ""Открыть"" от УКП",Затвор дисковый К-20 на выходе,N1NDD04AA004,ДУ,
303,324,"сигнал ""Закрыть"" от УКП",Затвор дисковый К-20 на выходе,N1NDD04AA004,ДУ,
304,325,"сигнал ""Стоп"" от УКП",Затвор дисковый К-20 на выходе,N1NDD04AA004,ДУ,
305,326,Автоматический выключатель,Затвор дисковый К-20 на выходе,N1NDD04AA004,ПС,
306,327,Не открыто,Затвор дисковый Т-24 на выходе,N1NDD05AA002,ДУ,
307,328,Не закрыто,Затвор дисковый Т-24 на выходе,N1NDD05AA002,ДУ,
308,329,превышение момента на открытие,Затвор дисковый Т-24 на выходе,N1NDD05AA002,ДУ,
309,330,превышение момента на закрытие,Затвор дисковый Т-24 на выходе,N1NDD05AA002,ДУ,
310,331,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-24 на выходе,N1NDD05AA002,ДУ,
311,332,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-24 на выходе,N1NDD05AA002,ДУ,
312,333,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-24 на выходе,N1NDD05AA002,ДУ,
313,334,Автоматический выключатель,Затвор дисковый Т-24 на выходе,N1NDD05AA002,ПС,
314,335,Не открыто,Затвор дисковый К-21 на выходе,N1NDD05AA004,ДУ,
315,336,Не закрыто,Затвор дисковый К-21 на выходе,N1NDD05AA004,ДУ,
316,337,превышение момента на открытие,Затвор дисковый К-21 на выходе,N1NDD05AA004,ДУ,
317,338,превышение момента на закрытие,Затвор дисковый К-21 на выходе,N1NDD05AA004,ДУ,
318,339,"сигнал ""Открыть"" от УКП",Затвор дисковый К-21 на выходе,N1NDD05AA004,ДУ,
319,340,"сигнал ""Закрыть"" от УКП",Затвор дисковый К-21 на выходе,N1NDD05AA004,ДУ,
320,341,"сигнал ""Стоп"" от УКП",Затвор дисковый К-21 на выходе,N1NDD05AA004,ДУ,
321,342,Автоматический выключатель,Затвор дисковый К-21 на выходе,N1NDD05AA004,ПС,
322,343,Не открыто,Затвор дисковый Т-25 на выходе,N1NDD06AA002,ДУ,
323,345,Не закрыто,Затвор дисковый Т-25 на выходе,N1NDD06AA002,ДУ,
324,347,превышение момента на открытие,Затвор дисковый Т-25 на выходе,N1NDD06AA002,ДУ,
325,349,превышение момента на закрытие,Затвор дисковый Т-25 на выходе,N1NDD06AA002,ДУ,
326,351,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-25 на выходе,N1NDD06AA002,ДУ,
327,353,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-25 на выходе,N1NDD06AA002,ДУ,
328,355,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-25 на выходе,N1NDD06AA002,ДУ,
329,357,Автоматический выключатель,Затвор дисковый Т-25 на выходе,N1NDD06AA002,ПС,
330,359,Не открыто,Затвор дисковый К-22 на выходе,N1NDD06AA004,ДУ,
331,361,Не закрыто,Затвор дисковый К-22 на выходе,N1NDD06AA004,ДУ,
332,363,превышение момента на открытие,Затвор дисковый К-22 на выходе,N1NDD06AA004,ДУ,
333,365,превышение момента на закрытие,Затвор дисковый К-22 на выходе,N1NDD06AA004,ДУ,
334,367,"сигнал ""Открыть"" от УКП",Затвор дисковый К-22 на выходе,N1NDD06AA004,ДУ,
335,369,"сигнал ""Закрыть"" от УКП",Затвор дисковый К-22 на выходе,N1NDD06AA004,ДУ,
336,371,"сигнал ""Стоп"" от УКП",Затвор дисковый К-22 на выходе,N1NDD06AA004,ДУ,
337,373,Автоматический выключатель,Затвор дисковый К-22 на выходе,N1NDD06AA004,ПС,
338,374,Не открыто,Затвор дисковый Т-26 на выходе,N1NDD07AA002,ДУ,
339,375,Не закрыто,Затвор дисковый Т-26 на выходе,N1NDD07AA002,ДУ,
340,376,превышение момента на открытие,Затвор дисковый Т-26 на выходе,N1NDD07AA002,ДУ,
341,377,превышение момента на закрытие,Затвор дисковый Т-26 на выходе,N1NDD07AA002,ДУ,
342,378,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-26 на выходе,N1NDD07AA002,ДУ,
343,379,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-26 на выходе,N1NDD07AA002,ДУ,
344,380,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-26 на выходе,N1NDD07AA002,ДУ,
345,381,Автоматический выключатель,Затвор дисковый Т-26 на выходе,N1NDD07AA002,ПС,
346,382,Не открыто,Затвор дисковый К-23 на выходе,N1NDD07AA004,ДУ,
347,383,Не закрыто,Затвор дисковый К-23 на выходе,N1NDD07AA004,ДУ,
348,384,превышение момента на открытие,Затвор дисковый К-23 на выходе,N1NDD07AA004,ДУ,
349,385,превышение момента на закрытие,Затвор дисковый К-23 на выходе,N1NDD07AA004,ДУ,
350,386,"сигнал ""Открыть"" от УКП",Затвор дисковый К-23 на выходе,N1NDD07AA004,ДУ,
351,387,"сигнал ""Закрыть"" от УКП",Затвор дисковый К-23 на выходе,N1NDD07AA004,ДУ,
352,388,"сигнал ""Стоп"" от УКП",Затвор дисковый К-23 на выходе,N1NDD07AA004,ДУ,
353,389,Автоматический выключатель,Затвор дисковый К-23 на выходе,N1NDD07AA004,ПС,
354,390,Не открыто,Затвор дисковый Т-27 на выходе,N1NDD08AA002,ДУ,
355,391,Не закрыто,Затвор дисковый Т-27 на выходе,N1NDD08AA002,ДУ,
356,392,превышение момента на открытие,Затвор дисковый Т-27 на выходе,N1NDD08AA002,ДУ,
357,393,превышение момента на закрытие,Затвор дисковый Т-27 на выходе,N1NDD08AA002,ДУ,
358,394,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-27 на выходе,N1NDD08AA002,ДУ,
359,395,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-27 на выходе,N1NDD08AA002,ДУ,
360,396,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-27 на выходе,N1NDD08AA002,ДУ,
361,397,Автоматический выключатель,Затвор дисковый Т-27 на выходе,N1NDD08AA002,ПС,
362,398,Не открыто,Затвор дисковый К-24 на выходе,N1NDD08AA004,ДУ,
363,399,Не закрыто,Затвор дисковый К-24 на выходе,N1NDD08AA004,ДУ,
364,400,превышение момента на открытие,Затвор дисковый К-24 на выходе,N1NDD08AA004,ДУ,
365,401,превышение момента на закрытие,Затвор дисковый К-24 на выходе,N1NDD08AA004,ДУ,
366,402,"сигнал ""Открыть"" от УКП",Затвор дисковый К-24 на выходе,N1NDD08AA004,ДУ,
367,403,"сигнал ""Закрыть"" от УКП",Затвор дисковый К-24 на выходе,N1NDD08AA004,ДУ,
368,404,"сигнал ""Стоп"" от УКП",Затвор дисковый К-24 на выходе,N1NDD08AA004,ДУ,
369,405,Автоматический выключатель,Затвор дисковый К-24 на выходе,N1NDD08AA004,ПС,
370,406,Не открыто,Затвор дисковый Т-28 на выходе,N1NDD09AA002,ДУ,
371,407,Не закрыто,Затвор дисковый Т-28 на выходе,N1NDD09AA002,ДУ,
372,408,превышение момента на открытие,Затвор дисковый Т-28 на выходе,N1NDD09AA002,ДУ,
373,409,превышение момента на закрытие,Затвор дисковый Т-28 на выходе,N1NDD09AA002,ДУ,
374,410,"сигнал ""Открыть"" от УКП",Затвор дисковый Т-28 на выходе,N1NDD09AA002,ДУ,
375,411,"сигнал ""Закрыть"" от УКП",Затвор дисковый Т-28 на выходе,N1NDD09AA002,ДУ,
376,412,"сигнал ""Стоп"" от УКП",Затвор дисковый Т-28 на выходе,N1NDD09AA002,ДУ,
377,413,Автоматический выключатель,Затвор дисковый Т-28 на выходе,N1NDD09AA002,ПС,
378,414,Не открыто,Затвор дисковый К-25 на выходе,N1NDD09AA004,ДУ,
379,415,Не закрыто,Затвор дисковый К-25 на выходе,N1NDD09AA004,ДУ,
380,416,превышение момента на открытие,Затвор дисковый К-25 на выходе,N1NDD09AA004,ДУ,
381,417,превышение момента на закрытие,Затвор дисковый К-25 на выходе,N1NDD09AA004,ДУ,
382,418,"сигнал ""Открыть"" от УКП",Затвор дисковый К-25 на выходе,N1NDD09AA004,ДУ,
383,419,"сигнал ""Закрыть"" от УКП",Затвор дисковый К-25 на выходе,N1NDD09AA004,ДУ,
384,420,"сигнал ""Стоп"" от УКП",Затвор дисковый К-25 на выходе,N1NDD09AA004,ДУ,
385,421,Автоматический выключатель,Затвор дисковый К-25 на выходе,N1NDD09AA004,ПС,
386,422,N1CDA01GH001XM01,Шкаф ввода Ш-1 сборки задвижек,Неисправность,ПС,
387,423,давление ниже уставки,Давление воды до пожарных насосов.,N1SGA01CP001,ДУ,
